epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,sec
1,1.7411393184826767,0.7523414985590778,1.4536990768477005,0.844799119427628,0.5915476704606715,0.0009890738003669028,38.88175654411316
2,1.292811236624301,0.8778017931476145,1.3304425542183442,0.8743611919176035,0.6845940266701515,0.0009567727288213003,39.09127616882324
3,1.2075853820721996,0.9014369196285623,1.3050191178431685,0.8780564509788505,0.7161854275048868,0.0009045084971874737,39.50926184654236
4,0.9220081890121775,0.9612151777137368,0.8450217102672218,0.9740545640380533,0.9024065562214172,9.829629131445342e-05,84.87682104110718
5,0.8105758420557614,0.983749599743836,0.8280727378845365,0.97657048510103,0.9487396034393516,9.330127018922195e-05,85.20809864997864
6,0.788976648641709,0.9876921229586936,0.8278770053786896,0.9750766569698875,0.9451099532966863,8.535533905932738e-05,84.88076162338257
7,0.7788225094019279,0.990253762407941,0.8089987249417129,0.980580234295149,0.9602146699306952,7.500000000000001e-05,85.0387601852417
8,0.7709856343658696,0.992195004803074,0.8152905670724319,0.9786146709646985,0.9574429857668333,6.294095225512605e-05,85.04733610153198
9,0.7648603086512783,0.9937560038424592,0.8073670986510549,0.9806588568283671,0.9511736361557183,5.000000000000001e-05,85.30993032455444
10,0.7587715615227633,0.9954570925392251,0.8035559622650392,0.9819954398930734,0.9394316920233412,3.705904774487398e-05,85.45154523849487
11,0.7537784641689114,0.9971781940441883,0.8003682978629916,0.9832534004245617,0.952393202659829,2.5000000000000018e-05,85.34664702415466
12,0.7502934262800629,0.9982188600704451,0.7979837202484086,0.9839610032235239,0.9667942564735388,1.4644660940672632e-05,84.95931434631348
13,0.748090331595638,0.9989593339737431,0.7990778191620678,0.98451136095605,0.9626621628560958,6.698729810778067e-06,84.90375399589539
14,0.7463206795977355,0.9994596541786743,0.8026151084489386,0.9834892680242158,0.9483767674128878,1.7037086855465907e-06,86.11139798164368
15,0.7456333905773365,0.9996597822606468,0.8027653310816096,0.9838037581570879,0.9630977264257234,0.0,85.10238432884216
